epoch,train_loss,train_acc,val_loss,val_acc,val_cov,val_dir_acc,val_avg_profit_bps,val_win_rate,val_avg_conf
1,0.6900280428937648,0.5346389779953852,0.728074594803499,0.4665109034267913,0.000778816199376947,0.3333333333333333,-35.14713668823242,0.3333333333333333,0.7791273593902588
2,0.6881869088286452,0.5446564241094041,0.7312304187398349,0.4688473520249221,0.0,0.0,-1.0,0.0,0.6099056005477905
3,0.6863259665780849,0.5436434239405706,0.7146567095554247,0.4667705088265836,0.0,0.0,-1.0,0.0,0.579988420009613
4,0.6856982614048773,0.5491023692948394,0.7245722820310281,0.470404984423676,0.0,0.0,-1.0,0.0,0.598706066608429
5,0.6844702608926827,0.5452754797681355,0.7063816763741279,0.4737798546209761,0.0,0.0,-1.0,0.0,0.5614098310470581
6,0.6839230041999679,0.5482019247003208,0.718911724214968,0.4685877466251298,0.0,0.0,-1.0,0.0,0.5891286134719849
7,0.6832604654925478,0.5518599808655523,0.7211979079107561,0.4698857736240914,0.0,0.0,-1.0,0.0,0.5939805507659912
8,0.6824313038632712,0.5507344251224042,0.7107531755727563,0.4675493250259605,0.0,0.0,-1.0,0.0,0.5731704235076904
9,0.6830833966750114,0.5525915920985986,0.7350519226109758,0.4709241952232606,0.030114226375908618,0.7241379310344828,7.638322353363037,0.7241379310344828,0.7109338641166687
10,0.6845530440157758,0.5467949800213856,0.745658099174747,0.4714434060228453,0.12201453790238836,0.6021276595744681,5.194694519042969,0.6021276595744681,0.7172304391860962
11,0.6802542628868232,0.551128369632506,0.7077242868115269,0.465472481827622,0.0005192107995846313,0.5,3.2173051834106445,0.5,0.7123739123344421
12,0.6804432059416182,0.5613146491079971,0.7372830246845852,0.4701453790238837,0.07061266874350987,0.6654411764705882,8.511279106140137,0.6654411764705882,0.7151106595993042
13,0.6789499648632488,0.5581630930271821,0.7184066226239859,0.4652128764278297,0.0010384215991692627,0.25,-1.9703679084777832,0.25,0.7191609144210815
14,0.6803629952348904,0.5628904271484045,0.7379447991108156,0.4698857736240914,0.07840083073727934,0.6622516556291391,7.710371494293213,0.6622516556291391,0.7159030437469482
15,0.6793485406635403,0.5567561483482469,0.7092560722784716,0.46443406022845274,0.000778816199376947,0.3333333333333333,0.523339569568634,0.3333333333333333,0.7239273190498352
