epoch,train_loss,train_acc,val_loss,val_acc,val_cov,val_dir_acc,val_avg_profit_bps,val_win_rate,val_avg_conf
1,0.6906987750933202,0.5294638465322185,0.6943011376308631,0.5206198450387404,0.4561359660084979,0.5391780821917809,0.8594560027122498,0.5391780821917809,0.586675226688385
2,0.6866158228269438,0.5438760452533202,0.6985555316159262,0.517120719820045,0.6025993501624594,0.5342181667357943,0.6141201853752136,0.5342181667357943,0.5966318845748901
3,0.6798883325599082,0.5659124446630596,0.6950232526414584,0.5221194701324668,0.569857535616096,0.5434210526315789,1.0569987297058105,0.5434210526315789,0.5956687927246094
4,0.6748343693557103,0.5770290211510084,0.6958676734828438,0.52511872031992,0.6108472881779555,0.544189852700491,0.9407651424407959,0.544189852700491,0.6029742360115051
5,0.6691147837426727,0.5901623216920807,0.6959518469279189,0.5288677830542364,0.6390902274431393,0.543605788032851,1.0469282865524292,0.543605788032851,0.6087067127227783
6,0.6631463323929419,0.5997048696507624,0.6989123307253938,0.5341164708822794,0.6840789802549363,0.5432955791012057,1.0829039812088013,0.5432955791012057,0.6183305382728577
7,0.6560042440213184,0.6119035907525824,0.7007352401549363,0.5343664083979005,0.707073231692077,0.5468363379285966,1.106647253036499,0.5468363379285966,0.6259451508522034
8,0.6480935969757454,0.6252828332513527,0.7059518556614279,0.538365408647838,0.744063984003999,0.5428283506886127,0.9756523370742798,0.5428283506886127,0.6368921995162964
9,0.636391047639077,0.6425479586817511,0.7050542320325838,0.5363659085228693,0.7348162959260185,0.5510204081632653,1.1076626777648926,0.5510204081632653,0.6415703296661377
10,0.6236847932204866,0.6579931136251844,0.7220507625585298,0.5398650337415646,0.7910522369407648,0.5428120063191153,0.7757622599601746,0.5428120063191153,0.6632736921310425
11,0.6026875793648503,0.6814559763895721,0.7241058025026421,0.535616095976006,0.7910522369407648,0.547867298578199,0.9783302545547485,0.547867298578199,0.6677800416946411
