tau,profit_bps,coverage,hit_rate,n_trades,EV_per_obs
0.5,-2.199181318283081,1.0,0.4737798546209761,3852,-2.199181318283081
0.51,-1.976427674293518,0.9478193146417445,0.47439057792385647,3651,-1.8732963236878593
0.52,-1.5422749519348145,0.8572170301142263,0.4791035735917626,3302,-1.3220643539171228
0.53,-1.8368061780929565,0.7468847352024922,0.470281543274244,2877,-1.3718824959432596
0.54,-1.3172610998153687,0.6778296988577363,0.4745308310991957,2611,-0.8928786946048618
0.55,-1.003097653388977,0.5789200415368639,0.47533632286995514,2230,-0.5807133351654773
0.56,-0.7609263062477112,0.47533748701973,0.474604041507373,1831,-0.36169679821899253
0.5700000000000001,0.0832534208893776,0.3886292834890966,0.49632598530394123,1497,0.032354717308255
0.5800000000000001,0.442913681268692,0.3393042575285566,0.4973221117061974,1307,0.1502824977721133
0.5900000000000001,1.6091258525848389,0.2879023883696781,0.5220919747520288,1109,0.46327117614656965
0.6000000000000001,3.3917951583862305,0.18328141225337488,0.5651558073654391,706,0.6216530067031877
0.6100000000000001,5.524042129516602,0.10747663551401869,0.6111111111111112,414,0.5937054625181394
0.6200000000000001,9.69786548614502,0.04231568016614746,0.7361963190184049,163,0.41037177420603277
0.6300000000000001,7.568587779998779,0.018951194184839044,0.7671232876712328,73,0.1434337767237567
0.6400000000000001,-9.45149040222168,0.00025960539979231567,0.0,1,-0.0024536579445019937
0.6500000000000001,-1.0,0.0,0.0,0,0.0
0.6600000000000001,-1.0,0.0,0.0,0,0.0
0.6700000000000002,-1.0,0.0,0.0,0,0.0
0.6800000000000002,-1.0,0.0,0.0,0,0.0
0.6900000000000002,-1.0,0.0,0.0,0,0.0
0.7000000000000002,-1.0,0.0,0.0,0,0.0
0.7100000000000002,-1.0,0.0,0.0,0,0.0
0.7200000000000002,-1.0,0.0,0.0,0,0.0
0.7300000000000002,-1.0,0.0,0.0,0,0.0
0.7400000000000002,-1.0,0.0,0.0,0,0.0
0.7500000000000002,-1.0,0.0,0.0,0,0.0
0.7600000000000002,-1.0,0.0,0.0,0,0.0
0.7700000000000002,-1.0,0.0,0.0,0,0.0
0.7800000000000002,-1.0,0.0,0.0,0,0.0
0.7900000000000003,-1.0,0.0,0.0,0,0.0
0.8000000000000003,-1.0,0.0,0.0,0,0.0
0.8100000000000003,-1.0,0.0,0.0,0,0.0
0.8200000000000003,-1.0,0.0,0.0,0,0.0
0.8300000000000003,-1.0,0.0,0.0,0,0.0
0.8400000000000003,-1.0,0.0,0.0,0,0.0
0.8500000000000003,-1.0,0.0,0.0,0,0.0
0.8600000000000003,-1.0,0.0,0.0,0,0.0
0.8700000000000003,-1.0,0.0,0.0,0,0.0
0.8800000000000003,-1.0,0.0,0.0,0,0.0
0.8900000000000003,-1.0,0.0,0.0,0,0.0
0.9000000000000004,-1.0,0.0,0.0,0,0.0
0.9100000000000004,-1.0,0.0,0.0,0,0.0
0.9200000000000004,-1.0,0.0,0.0,0,0.0
0.9300000000000004,-1.0,0.0,0.0,0,0.0
0.9400000000000004,-1.0,0.0,0.0,0,0.0
0.9500000000000004,-1.0,0.0,0.0,0,0.0
